# Energy Eigenvalues:,4.934802,19.739209,44.413221,78.956839,123.370071
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5
-3.428093645484949770e-01,6.703384087396156987e-01,1.180498642678802890e+00,1.408577296652856470e+00,1.300074702564304907e+00,8.809176884619287495e-01
-3.394648829431438086e-01,6.833850021402265718e-01,1.196601065556293975e+00,1.411852830269235470e+00,1.275540696384716455e+00,8.216075978050580986e-01
-3.361204013377926403e-01,6.963561525639683225e-01,1.212175103088911410e+00,1.413725700863318391e+00,1.248753967464935055e+00,7.600304527904746532e-01
-3.327759197324414719e-01,7.092504280476015222e-01,1.227213878220108301e+00,1.414194047755122030e+00,1.219761823643757515e+00,6.963561626752536871e-01
-3.294314381270903036e-01,7.220664051145736506e-01,1.241710750250146544e+00,1.413257405646262121e+00,1.188615467726494179e+00,6.307604233498309565e-01
-3.260869565217391353e-01,7.348026689321643934e-01,1.255659317768441419e+00,1.410916705082225553e+00,1.155369907056083667e+00,5.634242325419283048e-01
-3.227424749163879669e-01,7.474578134676783669e-01,1.269053421480245802e+00,1.407174271527878773e+00,1.120083856365040154e+00,4.945333903911664497e-01
-3.193979933110367986e-01,7.600304416436651778e-01,1.281887146926421028e+00,1.402033823057142081e+00,1.082819634079811966e+00,4.242779867724288390e-01
-3.160535117056856302e-01,7.725191654921511608e-01,1.294154827095094662e+00,1.395500466659115091e+00,1.043643052260679438e+00,3.528518767825958302e-01
-3.127090301003344619e-01,7.849226063078653670e-01,1.305851044924054127e+00,1.387580693164329748e+00,1.002623300371575210e+00,2.804521458379375942e-01
-3.093645484949832936e-01,7.972393948004438124e-01,1.316970635692768621e+00,1.378282370796168887e+00,9.598328230850967646e-01,2.072785658581158541e-01
-3.060200668896321252e-01,8.094681712455924494e-01,1.327508689302984823e+00,1.367614737353857857e+00,9.153471923385202436e-01,1.335330440373413974e-01
-3.026755852842809569e-01,8.216075856351965356e-01,1.337460552446887663e+00,1.355588391034793672e+00,8.692449738667749060e-01,5.941906572368795686e-02
-2.993311036789297885e-01,8.336562978263555301e-01,1.346821830661869779e+00,1.342215279905331737e+00,8.216075884480946723e-01,-1.485886705617912168e-02
-2.959866220735786202e-01,8.456129776893295258e-01,1.355588390271002863e+00,1.327508690030491101e+00,7.725191681074001782e-01,-8.909579987758613207e-02
-2.926421404682274519e-01,8.574763052543803443e-01,1.363756360208352669e+00,1.311483232274367472e+00,7.220664075313674157e-01,-1.630868914467317465e-01
-2.892976588628762835e-01,8.692449708574908618e-01,1.371322133728333670e+00,1.294154827784372630e+00,6.703384109575991623e-01,-2.366279788174068810e-01
-2.859531772575251152e-01,8.809176752849470216e-01,1.378282369998345303e+00,1.275540692173718238e+00,6.174265348083081140e-01,-3.095161407359555694e-01
-2.826086956521739468e-01,8.924931299167653265e-01,1.384633995573990140e+00,1.255659318417860382e+00,5.634242263464315226e-01,-3.815502575600451807e-01
-2.792642140468227785e-01,9.039700568689519322e-01,1.390374205756220283e+00,1.234530458481893689e+00,5.084268586391306188e-01,-4.525315662062664446e-01
-2.759197324414716102e-01,9.153471891345750233e-01,1.395500465829813352e+00,1.212175103697155087e+00,4.525315621201392857e-01,-5.222642085953016489e-01
-2.725752508361204418e-01,9.266232707236382593e-01,1.400010512182631839e+00,1.188615463906523839e+00,3.958370530484430772e-01,-5.905557720813414679e-01
-2.692307692307692735e-01,9.377970568017368613e-01,1.403902353305169992e+00,1.163874945399145044e+00,3.384434591662427438e-01,-6.572178203745484559e-01
-2.658862876254181051e-01,9.488673138274820174e-01,1.407174270669948601e+00,1.137978127656491756e+00,2.804521428641091330e-01,-7.220664134915970589e-01
-2.625418060200668813e-01,9.598328196886792840e-01,1.409824819490368197e+00,1.110950738932872106e+00,2.219655221656331723e-01,-7.849226152995970596e-01
-2.591973244147157129e-01,9.706923638372441099e-01,1.411852829358686723e+00,1.082819630694643598e+00,1.630868898477356166e-01,-8.456129872529326574e-01
-2.558528428093645446e-01,9.814447474228429336e-01,1.413257404762837899e+00,1.053612750943521359e+00,1.039202310160720760e-01,-9.039700669606695049e-01
-2.525083612040133763e-01,9.920887834252400950e-01,1.414037925481864022e+00,1.023359116450491602e+00,4.457003945773090753e-02,-9.598328302640010135e-01
-2.491638795986622079e-01,1.002623296785341012e+00,1.414194046859789333e+00,9.920887839279134424e-01,-1.485886690445210531e-02,-1.013047135548745592e+00
-2.458193979933110396e-01,1.013047124534913745e+00,1.413725699957808724e+00,9.598328201684451777e-01,-7.426153113003153283e-02,-1.063466149066899069e+00
-2.424749163879598712e-01,1.023359115924975971e+00,1.412633091584730716e+00,9.266232711804678335e-01,-1.335330426246082725e-01,-1.110950750093657957e+00
-2.391304347826087029e-01,1.033558132552832687e+00,1.410916704205654959e+00,8.924931303506652425e-01,-1.925687224216339755e-01,-1.155369914801969378e+00
-2.357859531772575346e-01,1.043643048487752578e+00,1.408577295728931089e+00,8.574763056653920135e-01,-2.512643080551392738e-01,-1.196601077795382828e+00
-2.324414715719063662e-01,1.053612750395264586e+00,1.405615899171485994e+00,8.216075860233967854e-01,-3.095161376968836309e-01,-1.234530470301631988e+00
-2.290969899665551979e-01,1.063466137660067146e+00,1.402033822202673141e+00,7.849226066733646645e-01,-3.672213332327231017e-01,-1.269053434093770694e+00
-2.257525083612040295e-01,1.073202122507530554e+00,1.397832646566843140e+00,7.474578138106204861e-01,-4.242779819548669340e-01,-1.300074710272665302e+00
-2.224080267558528612e-01,1.082819630123784016e+00,1.393014227384889780e+00,7.092504283681635435e-01,-4.805853165491372203e-01,-1.327508702114005956e+00
-2.190635451505016928e-01,1.092317598774369403e+00,1.387580692335080634e+00,6.703384090380062332e-01,-5.360438930593574014e-01,-1.351279711254566251e+00
-2.157190635451505245e-01,1.101694979921454154e+00,1.381534440713533707e+00,6.307604145595574474e-01,-5.905557665145682034e-01,-1.371322146566006372e+00
-2.123745819397993562e-01,1.110950738339584243e+00,1.374878142374757362e+00,5.905557653125143025e-01,-6.440246639088977876e-01,-1.387580705139874748e+00
