# Energy Eigenvalues:,4.740917,18.959082,42.640741,75.762981,118.293760,170.191932,231.407289,301.880609,381.543713,470.319533
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5,Psi 6,Psi 7,Psi 8,Psi 9,Psi 10
1.565656565656565746e-01,1.240553096684675172e+00,1.150431469795798911e+00,1.737707443277180241e-01,-1.311715931340085239e+00,1.042696119393297760e+00,3.449429032350756485e-01,1.362844025680422400e+00,9.189448316639754477e-01,-5.109500682679954942e-01,1.393145014206680132e+00
1.666666666666667407e-01,1.219762965577296354e+00,1.197827161434140919e+00,4.354794952686057152e-02,-1.240730418029273086e+00,1.174931732098533521e+00,8.707597213489672028e-02,1.260713610803835705e+00,1.151078906767514010e+00,-1.305628789423723957e-01,1.279689079104681992e+00
1.767676767676767957e-01,1.197792792577858867e+00,1.240588692483406197e+00,-8.705376922410533458e-02,-1.150562895730194546e+00,1.278805526121645775e+00,-1.738150642491377851e-01,1.099050838218396109e+00,1.312304217213862811e+00,2.599896905753747989e-01,1.043416539541607069e+00
1.868686868686869618e-01,1.174663832409822417e+00,1.278550626887130282e+00,-2.168980066593121925e-01,-1.042607377354970888e+00,1.351810079430000311e+00,-4.286695897413369538e-01,8.854896113921784107e-01,1.392688961170839956e+00,6.302999517728702372e-01,7.070033654154230796e-01
1.969696969696970168e-01,1.150398460848388815e+00,1.311566097295863820e+00,-3.448549485881426402e-01,-9.185328827758599823e-01,1.392183126312888541e+00,-6.686366331924913364e-01,6.301145389462099455e-01,1.387281277512538491e+00,9.515362441918716607e-01,3.027364023488621769e-01
2.070707070707071829e-01,1.125020153073390761e+00,1.339507373268419288e+00,-4.698112027520351952e-01,-7.802576353519798946e-01,1.398950096925907660e+00,-8.853822583138682978e-01,3.449847277486108310e-01,1.296414290376333822e+00,1.198687714285035621e+00,-1.305853190885852555e-01
2.171717171717172379e-01,1.098553460958568762e+00,1.362266355436131393e+00,-5.906794867890655665e-01,-6.299194057065027330e-01,1.371947642549883994e+00,-1.071378997147181433e+00,4.356433791331068561e-02,1.125685588049239128e+00,1.352511613432762827e+00,-5.513742731962159027e-01
2.272727272727272929e-01,1.071023989319219494e+00,1.379754993718317113e+00,-7.064080890083800357e-01,-4.698424612471051587e-01,1.311827578685295093e+00,-1.220167275289812947e+00,-2.599132104437817392e-01,8.856124003252867638e-01,1.401031502159008291e+00,-9.192457513896745702e-01
2.373737373737374590e-01,1.042458371141190998e+00,1.391905627970930981e+00,-8.159900196534024541e-01,-3.025016323985229016e-01,1.220041150799347607e+00,-1.326579749706995992e+00,-5.511173557973727544e-01,5.909837160989254157e-01,1.340469713183585876e+00,-1.198893735537270633e+00
2.474747474747475140e-01,1.012884241815185549e+00,1.398671249750514045e+00,-9.184717730258900037e-01,-1.304840510924244190e-01,1.098804002536737157e+00,-1.386920767990107217e+00,-8.162971009353043872e-01,2.599492520474682711e-01,1.175541473491702238e+00,-1.363479350151040048e+00
