# Energy Eigenvalues:,2.827029,10.796689
# Position x, Psi 1,Psi 2
-7.252252252252252562e-01,1.216983455782406770e-01,-3.244258755059555854e-01
-7.222222222222222099e-01,1.238595423884230051e-01,-3.286432923614848733e-01
-7.192192192192192746e-01,1.260591025398898335e-01,-3.329152611801088346e-01
-7.162162162162162282e-01,1.282977073081826569e-01,-3.372424910719507563e-01
-7.132132132132131819e-01,1.305760500622336062e-01,-3.416257003199948405e-01
-7.102102102102102466e-01,1.328948364791258663e-01,-3.460656164993183848e-01
-7.072072072072072002e-01,1.352547847626652811e-01,-3.505629765978642287e-01
-7.042042042042042649e-01,1.376566258658315223e-01,-3.551185271387742870e-01
-7.012012012012012185e-01,1.401011037171759621e-01,-3.597330243043005971e-01
-6.981981981981981722e-01,1.425889754512417451e-01,-3.644072340613279115e-01
-6.951951951951952369e-01,1.451210116430722841e-01,-3.691419322885154952e-01
-6.921921921921921905e-01,1.476979965468861733e-01,-3.739379049050937653e-01
-6.891891891891891442e-01,1.503207283389834670e-01,-3.787959480013122215e-01
-6.861861861861862089e-01,1.529900193649695039e-01,-3.837168679705906804e-01
-6.831831831831831625e-01,1.557066963913631696e-01,-3.887014816433688180e-01
-6.801801801801802272e-01,1.584716008616728067e-01,-3.937506164226918237e-01
-6.771771771771771808e-01,1.612855891570193767e-01,-3.988651104215539256e-01
-6.741741741741741345e-01,1.641495328613864213e-01,-4.040458126020193830e-01
-6.711711711711711992e-01,1.670643190315775628e-01,-4.092935829161420958e-01
-6.681681681681681528e-01,1.700308504719666991e-01,-4.146092924487096987e-01
-6.651651651651652175e-01,1.730500460141273789e-01,-4.199938235618391746e-01
-6.621621621621621712e-01,1.761228408014220426e-01,-4.254480700414349781e-01
-6.591591591591591248e-01,1.792501865786471360e-01,-4.309729372455509133e-01
-6.561561561561561895e-01,1.824330519868219702e-01,-4.365693422546781388e-01
-6.531531531531531432e-01,1.856724228632081752e-01,-4.422382140239720094e-01
-6.501501501501502078e-01,1.889693025466513132e-01,-4.479804935374396835e-01
