# Energy Eigenvalues:,3.108855,12.108395,25.334644
# Position x, Psi 1,Psi 2,Psi 3
-1.124624624624624758e+00,4.079042331099840858e-03,1.819808089905857254e-02,1.352733159499359683e-01
-1.121621621621621490e+00,4.170570934303061313e-03,1.853508365611673467e-02,1.367928924596748530e-01
-1.118618618618618665e+00,4.264122306699048501e-03,1.887806757258918625e-02,1.383239793536584217e-01
-1.115615615615615619e+00,4.359741821652068743e-03,1.922714332731194700e-02,1.398667054645937602e-01
-1.112612612612612573e+00,4.457475855596432050e-03,1.958242356492009492e-02,1.414212006045631742e-01
-1.109609609609609748e+00,4.557371810529601067e-03,1.994402293219782463e-02,1.429875955759493111e-01
-1.106606606606606480e+00,4.659478137002716347e-03,2.031205811507458964e-02,1.445660221824437708e-01
-1.103603603603603656e+00,4.763844357619433784e-03,2.068664787627820870e-02,1.461566132401325713e-01
-1.100600600600600609e+00,4.870521091055026418e-03,2.106791309365948356e-02,1.477595025886759283e-01
-1.097597597597597563e+00,4.979560076606925727e-03,2.145597679919861514e-02,1.493748251025693030e-01
-1.094594594594594517e+00,5.091014199288725756e-03,2.185096421870651520e-02,1.510027167024899364e-01
-1.091591591591591470e+00,5.204937515480110612e-03,2.225300281223512727e-02,1.526433143667386416e-01
-1.088588588588588646e+00,5.321385279144661036e-03,2.266222231520765434e-02,1.542967561427633083e-01
-1.085585585585585600e+00,5.440413968628528794e-03,2.307875478028313318e-02,1.559631811587729455e-01
-1.082582582582582553e+00,5.562081314053010130e-03,2.350273461996904220e-02,1.576427296354449281e-01
-1.079579579579579507e+00,5.686446325314375647e-03,2.393429864999596299e-02,1.593355428977273891e-01
-1.076576576576576461e+00,5.813569320704176091e-03,2.437358613346683744e-02,1.610417633867286258e-01
-1.073573573573573636e+00,5.943511956164208854e-03,2.482073882579623192e-02,1.627615346717022071e-01
-1.070570570570570590e+00,6.076337255190211208e-03,2.527590102045370810e-02,1.644950014621256174e-01
-1.067567567567567544e+00,6.212109639399064458e-03,2.573921959552711788e-02,1.662423096198815953e-01
-1.064564564564564497e+00,6.350894959773870779e-03,2.621084406111907905e-02,1.680036061715300955e-01
-1.061561561561561451e+00,6.492760528602347855e-03,2.669092660759293800e-02,1.697790393206795312e-01
-1.058558558558558627e+00,6.637775152123904891e-03,2.717962215468342282e-02,1.715687584604555782e-01
-1.055555555555555580e+00,6.786009163901373341e-03,2.767708840148833116e-02,1.733729141860720357e-01
-1.052552552552552534e+00,6.937534458933568640e-03,2.818348587735736849e-02,1.751916583075045497e-01
-1.049549549549549488e+00,7.092424528524981543e-03,2.869897799369353769e-02,1.770251438622616746e-01
-1.046546546546546441e+00,7.250754495929987060e-03,2.922373109668575594e-02,1.788735251282666527e-01
-1.043543543543543617e+00,7.412601152788264244e-03,2.975791452098725323e-02,1.807369576368361153e-01
-1.040540540540540571e+00,7.578042996369534733e-03,3.030170064435893165e-02,1.826155981857675581e-01
-1.037537537537537524e+00,7.747160267645527600e-03,3.085526494329456776e-02,1.845096048525328714e-01
-1.034534534534534478e+00,7.920034990207649658e-03,3.141878604964598587e-02,1.864191370075792831e-01
-1.031531531531531432e+00,8.096751010049250616e-03,3.199244580826640649e-02,1.883443553277394100e-01
-1.028528528528528607e+00,8.277394036231894639e-03,3.257642933569117327e-02,1.902854218097540795e-01
-1.025525525525525561e+00,8.462051682455005649e-03,3.317092507987325772e-02,1.922424997839005945e-01
-1.022522522522522515e+00,8.650813509549408128e-03,3.377612488099430293e-02,1.942157539277364064e-01
-1.019519519519519468e+00,8.843771068915219288e-03,3.439222403337021533e-02,1.962053502799553373e-01
-1.016516516516516422e+00,9.041017946925309148e-03,3.501942134847187138e-02,1.982114562543612346e-01
-1.013513513513513598e+00,9.242649810315627448e-03,3.565791921908029877e-02,2.002342406539546205e-01
-1.010510510510510551e+00,9.448764452584556758e-03,3.630792368459771075e-02,2.022738736851367736e-01
-1.007507507507507505e+00,9.659461841423558695e-03,3.696964449753438464e-02,2.043305269720276096e-01
-1.004504504504504458e+00,9.874844167202643033e-03,3.764329519119502532e-02,2.064043735709095995e-01
-1.001501501501501412e+00,1.009501589253372460e-02,3.832909314858468086e-02,2.084955879847894544e-01
-9.984984984984984768e-01,1.032008380293619049e-02,3.902725967255739337e-02,2.106043461780845172e-01
-9.954954954954955415e-01,1.055015705862885622e-02,3.973802005722895658e-02,2.127308255914268920e-01
-9.924924924924924952e-01,1.078534724747360479e-02,4.046160366067722697e-02,2.148752051565905319e-01
-9.894894894894894488e-01,1.102576843909680929e-02,4.119824397895539836e-02,2.170376653115514975e-01
-9.864864864864865135e-01,1.127153724021433268e-02,4.194817872143991044e-02,2.192183880156718390e-01
-9.834834834834834671e-01,1.152277285118684554e-02,4.271164988753741593e-02,2.214175567650080723e-01
-9.804804804804805318e-01,1.177959712383325197e-02,4.348890384477670928e-02,2.236353566077525223e-01
-9.774774774774774855e-01,1.204213462052994288e-02,4.428019140830956324e-02,2.258719741598015085e-01
-9.744744744744744391e-01,1.231051267462491758e-02,4.508576792184770810e-02,2.281275976204605593e-01
-9.714714714714715038e-01,1.258486145219576101e-02,4.590589334006075356e-02,2.304024167882803564e-01
-9.684684684684684575e-01,1.286531401518158091e-02,4.674083231246213554e-02,2.326966230770284305e-01
-9.654654654654655221e-01,1.315200638591917937e-02,4.759085426880924757e-02,2.350104095317916975e-01
-9.624624624624624758e-01,1.344507761311544008e-02,4.845623350604738588e-02,2.373439708452236008e-01
-9.594594594594594295e-01,1.374466983928725183e-02,4.933724927682329314e-02,2.396975033739240368e-01
