# Energy Eigenvalues:,3.413637,13.476072,29.454787,48.260963
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
1.168341708542713242e+00,5.301574491808348473e-04,-2.177706736531118820e-03,1.287659878925714874e-02,-2.089784241624583760e-01
1.183417085427135529e+00,4.582777066693552925e-04,-1.912914056099946020e-03,1.166196875116549958e-02,-1.983853315368719616e-01
1.198492462311557816e+00,3.960827002397036443e-04,-1.679840402183265143e-03,1.055004224820907562e-02,-1.879445334906860998e-01
1.213567839195979658e+00,3.418468735688976455e-04,-1.473521715801169845e-03,9.526405828166491924e-03,-1.776482764162795047e-01
1.228643216080401945e+00,2.945452593716565374e-04,-1.290801267796222321e-03,8.584395983320235873e-03,-1.674911801994334315e-01
1.243718592964823788e+00,2.535325695281898518e-04,-1.129624252337378502e-03,7.719116299175903494e-03,-1.574658420155657101e-01
1.258793969849246075e+00,2.181648156274631318e-04,-9.879401713061958766e-04,6.925665768245200214e-03,-1.475648376418322028e-01
1.273869346733668362e+00,1.877980092584455795e-04,-8.636985265842462428e-04,6.199143383039902588e-03,-1.377807428553894931e-01
1.288944723618090205e+00,1.617881620101059635e-04,-7.548488200531003160e-04,5.534648136071780231e-03,-1.281061334333943313e-01
1.304020100502512491e+00,1.394912854714106128e-04,-6.593405535943188366e-04,4.927279019852544642e-03,-1.185335851530025242e-01
1.319095477386934334e+00,1.202633912313289330e-04,-5.751232290894742541e-04,4.372135026893984519e-03,-1.090556737913710023e-01
1.334170854271356621e+00,1.034604908788277816e-04,-5.001463484201291521e-04,3.864315149707818302e-03,-9.966497512565565542e-02
1.349246231155778908e+00,8.843859600287562906e-05,-4.323594134678533239e-04,3.398918380805813870e-03,-9.035406493301312292e-02
1.364321608040200751e+00,7.489639997809398992e-05,-3.706507916232189997e-04,2.971043712699735200e-03,-8.111551899060005788e-02
1.379396984924623037e+00,6.289550373982478266e-05,-3.149548570700752234e-04,2.575790137901307238e-03,-7.194191307557232240e-02
1.394472361809045324e+00,5.224997900383893497e-05,-2.645576733963083413e-04,2.208256648922296561e-03,-6.282582296508656960e-02
1.409547738693467167e+00,4.277313877113822201e-05,-2.187432595030805124e-04,1.863542238274463244e-03,-5.375982443629949425e-02
1.424623115577889454e+00,3.427829604272362611e-05,-1.767956342915496669e-04,1.536745898469536785e-03,-4.473649326636693763e-02
1.439698492462311297e+00,2.657876381959715622e-05,-1.379988166628791835e-04,1.222966622019290919e-03,-3.574840523244578183e-02
1.454773869346733584e+00,1.948785510275987599e-05,-1.016368255182273448e-04,9.173034014354567714e-04,-2.678813611169194447e-02
1.469849246231155870e+00,1.281888289321355552e-05,-6.699367975875625551e-05,6.148552292297919213e-04,-1.784826168126206133e-02
1.484924623115577713e+00,6.385160191959874240e-06,-3.335339828562760005e-05,3.107210979140622429e-04,-8.921357718312808091e-03
1.500000000000000000e+00,-5.774273201237155940e-21,1.503489081861783354e-20,-1.135051287349605775e-18,-1.804476218246757775e-17
